reaction_id	namespace	accession
RHEA:23800	KEGG_REACTION	R00654
RHEA:23800	EC	4.4.1.11
RHEA:24931	KEGG_REACTION	R00782
RHEA:24931	EC	4.4.1.28
RHEA:13245	KEGG_REACTION	R00479
RHEA:13245	EC	4.1.3.1
RHEA:18181	KEGG_REACTION	R00472
RHEA:18181	EC	2.3.3.9
RHEA:21448	KEGG_REACTION	R05185
RHEA:21448	EC	1.18.6.1
RHEA:55543	KEGG_REACTION	R12084
RHEA:55543	EC	1.18.6.2
RHEA:18136	KEGG_REACTION	R00529
RHEA:18136	EC	2.7.7.4
RHEA:24152	KEGG_REACTION	R00509
RHEA:24152	EC	2.7.1.25
RHEA:11724	KEGG_REACTION	R02021
RHEA:11724	EC	1.8.4.8
RHEA:21976	KEGG_REACTION	R07176
RHEA:21976	EC	1.8.4.10
RHEA:13804	KEGG_REACTION	R00858
RHEA:13804	EC	1.8.1.2
RHEA:23132	KEGG_REACTION	R00859
RHEA:23132	EC	1.8.7.1
RHEA:11160	KEGG_REACTION	R06977
RHEA:11160	EC	2.6.1.76
RHEA:16901	KEGG_REACTION	R06978
RHEA:16901	EC	2.3.1.178
RHEA:17281	KEGG_REACTION	R06979
RHEA:17281	EC	4.2.1.108
RHEA:19865	KEGG_REACTION	R03197
RHEA:19865	EC	4.1.1.37
RHEA:18257	KEGG_REACTION	R03220
RHEA:18257	EC	1.3.3.3
RHEA:15425	KEGG_REACTION	R06895
RHEA:15425	EC	1.3.98.3
RHEA:25576	KEGG_REACTION	R03222
RHEA:25576	EC	1.3.3.4
RHEA:27409	EC	1.3.5.3
RHEA:62000	KEGG_REACTION	R12605
RHEA:22584	KEGG_REACTION	R00310
RHEA:22584	EC	4.98.1.1
RHEA:43436	KEGG_REACTION	R04178
RHEA:43436	EC	1.3.3.15
RHEA:49572	KEGG_REACTION	R11329
RHEA:49572	EC	4.99.1.9
RHEA:56516	KEGG_REACTION	R11522
RHEA:56516	EC	1.3.98.5
RHEA:11112	KEGG_REACTION	R03037
RHEA:11112	EC	3.3.2.1
RHEA:23824	KEGG_REACTION	R01505
RHEA:23824	EC	1.3.1.28
RHEA:30571	KEGG_REACTION	R07644
RHEA:30571	EC	6.3.2.14
RHEA:17433	KEGG_REACTION	R01025
RHEA:17433	EC	1.1.99.1
RHEA:33051	KEGG_REACTION	R08557
RHEA:17769	KEGG_REACTION	R07409
RHEA:17769	EC	1.14.15.7
RHEA:13505	KEGG_REACTION	R01022
RHEA:20369	KEGG_REACTION	R08211
RHEA:15305	KEGG_REACTION	R02565
RHEA:15305	EC	1.2.1.8
RHEA:24360	KEGG_REACTION	R02864
RHEA:24360	EC	4.99.1.4
RXN_CHITIN_ENDO	EC	3.2.1.14
RXN_CHITOBIOSE_EXO	EC	3.2.1.52
RXN_CHITIN_LPMO	EC	1.14.99.53
RXN_MUCIN_NEUAC_RELEASE	EC	3.2.1.18
RXN_MUCIN_FUCOSE_RELEASE	EC	3.2.1.51
RXN_MUCIN_GALNAC_RELEASE	EC	3.2.1.49
RXN_PECTIN_ENDO_PG	EC	3.2.1.15
RXN_OLIGOGALACTURONIDE_EXO	EC	3.2.1.67
RXN_PECTIN_DEMETHYL	EC	3.1.1.11
