reaction_id	namespace	accession
RHEA:16197	EC	1.1.1.157
RHEA:26558	KEGG_REACTION	R03026
RHEA:26558	EC	4.2.1.55
RHEA:26558	EC	4.2.1.150
RHEA:24004	KEGG_REACTION	R01175
RHEA:24004	EC	1.3.8.1
RHEA:30071	KEGG_REACTION	R01179
RHEA:30071	EC	2.8.3.8
RHEA:15933	KEGG_REACTION	R02257
RHEA:15933	EC	1.1.1.77
RHEA:14569	KEGG_REACTION	R02376
RHEA:14569	EC	4.2.1.28
RHEA:36027	KEGG_REACTION	R09097
RHEA:36027	EC	1.2.1.87
RHEA:28046	KEGG_REACTION	R00921
RHEA:28046	EC	2.3.1.222
RHEA:23148	KEGG_REACTION	R01353
RHEA:23148	EC	2.7.2.15
RXN_LACTATE_COA_TRANSFER	KEGG_REACTION	R01449
RXN_LACTATE_COA_TRANSFER	EC	2.8.3.1
RHEA:34691	KEGG_REACTION	R02963
RHEA:34691	EC	4.2.1.54
RHEA:34471	KEGG_REACTION	R10161
RHEA:34471	EC	1.3.1.95
RHEA:23444	KEGG_REACTION	R00703
RHEA:23444	EC	1.1.1.27
RHEA:10960	KEGG_REACTION	R01450
RHEA:10960	EC	5.1.2.1
RHEA:46276	KEGG_REACTION	R11074
RHEA:46276	EC	4.1.1.101
RHEA:10760	KEGG_REACTION	R00362
RHEA:10760	EC	4.1.3.6
RHEA:15641	KEGG_REACTION	R00217
RHEA:15641	EC	4.1.1.112
RHEA:23288	KEGG_REACTION	R00228
RHEA:23288	EC	1.2.1.10
RHEA:25290	KEGG_REACTION	R00754
RHEA:25290	EC	1.1.1.1
RHEA:25249	KEGG_REACTION	R00006
RHEA:25249	EC	2.2.1.6
RHEA:21580	KEGG_REACTION	R02948
RHEA:21580	EC	4.1.1.5
RHEA:23704	KEGG_REACTION	R00425
RHEA:23704	EC	3.5.4.25
RHEA:21868	KEGG_REACTION	R03459
RHEA:21868	EC	3.5.4.26
RHEA:17845	KEGG_REACTION	R03458
RHEA:17845	EC	1.1.1.193
RHEA:25197	KEGG_REACTION	R07280
RHEA:25197	EC	3.1.3.104
RHEA:18457	KEGG_REACTION	R07281
RHEA:18457	EC	4.1.99.12
RHEA:26152	KEGG_REACTION	R04457
RHEA:26152	EC	2.5.1.78
RHEA:20772	KEGG_REACTION	R00066
RHEA:20772	EC	2.5.1.9
RHEA:11672	KEGG_REACTION	R01716
RHEA:11672	EC	2.6.1.85
RHEA:16201	KEGG_REACTION	R01818
RHEA:16201	EC	4.1.3.38
RHEA:17473	KEGG_REACTION	R00428
RHEA:17473	EC	3.5.4.16
RHEA:25302	KEGG_REACTION	R04638
RHEA:25302	EC	3.6.1.67
RHEA:10540	KEGG_REACTION	R03504
RHEA:10540	EC	4.1.2.25
RHEA:11412	KEGG_REACTION	R03503
RHEA:11412	EC	2.7.6.3
RHEA:19949	KEGG_REACTION	R03067
RHEA:19949	EC	2.5.1.15
RHEA:23584	KEGG_REACTION	R02237
RHEA:23584	EC	6.3.2.12
RHEA:15009	KEGG_REACTION	R00939
RHEA:15009	EC	1.5.1.3
RHEA:24840	KEGG_REACTION	R03472
RHEA:24840	EC	4.1.99.17
RHEA:19893	KEGG_REACTION	R04509
RHEA:19893	EC	2.7.4.7
RHEA:26361	KEGG_REACTION	R10246
RHEA:26361	EC	4.1.99.19
RHEA:26297	KEGG_REACTION	R10247
RHEA:26297	EC	2.8.1.10
RHEA:33343	EC	1.4.3.19
RHEA:22328	KEGG_REACTION	R10712
RHEA:22328	EC	2.5.1.3
RHEA:23096	KEGG_REACTION	R03471
RHEA:23096	EC	2.7.1.49
RHEA:24212	KEGG_REACTION	R04448
RHEA:24212	EC	2.7.1.50
RHEA:11824	KEGG_REACTION	R01226
RHEA:11824	EC	2.1.2.11
