gift_id	anchor_id	role	ordinal
pantothenate_biosynthesis	PANTOTHENATE	output	1
plp_biosynthesis_r5p	RIBOSE_5P	input	1
plp_biosynthesis_r5p	GLUTAMINE	input	2
plp_biosynthesis_r5p	PLP	output	1
plp_biosynthesis_dxp	E4P	input	1
plp_biosynthesis_dxp	DXP	input	2
plp_biosynthesis_dxp	PLP	output	1
biotin_biosynthesis	PIMELOYL_COA	input	1
biotin_biosynthesis	BIOTIN	output	1
quinolinate_biosynthesis_aspartate	ASPARTATE	input	1
quinolinate_biosynthesis_aspartate	QUINOLINATE	output	1
namn_biosynthesis_quinolinate	QUINOLINATE	input	1
namn_biosynthesis_quinolinate	PRPP	input	2
namn_biosynthesis_quinolinate	NAMN	output	1
nad_biosynthesis_namn	NAMN	input	1
nad_biosynthesis_namn	NAD	output	1
namn_salvage_nicotinate	NICOTINATE	input	1
namn_salvage_nicotinate	PRPP	input	2
namn_salvage_nicotinate	NAMN	output	1
corrin_ring_biosynthesis	UROGEN_III	input	1
corrin_ring_biosynthesis	COBYRINATE_DIAMIDE	output	1
cobinamide_biosynthesis	COBYRINATE_DIAMIDE	input	1
cobinamide_biosynthesis	ADENOSYLCOBINAMIDE_P	output	1
cobamide_nucleotide_loop_assembly	ADENOSYLCOBINAMIDE_P	input	1
cobamide_nucleotide_loop_assembly	DMB	input	2
cobamide_nucleotide_loop_assembly	NAMN	input	3
cobamide_nucleotide_loop_assembly	COBALAMIN	output	1
dmb_biosynthesis_aerobic	FMNH2	input	1
dmb_biosynthesis_aerobic	DMB	output	1
menaquinone_biosynthesis	CHORISMATE	input	1
menaquinone_biosynthesis	MENAQUINONE	output	1
acetyl_coa_to_oxoglutarate	ACETYL_COA	input	1
acetyl_coa_to_oxoglutarate	OXALOACETATE	input	2
acetyl_coa_to_oxoglutarate	OXOGLUTARATE	output	1
oxoglutarate_to_succinate	OXOGLUTARATE	input	1
oxoglutarate_to_succinate	SUCCINATE	output	1
succinate_fumarate_interconversion	SUCCINATE	input	1
succinate_fumarate_interconversion	FUMARATE	input	2
succinate_fumarate_interconversion	SUCCINATE	output	1
succinate_fumarate_interconversion	FUMARATE	output	2
fumarate_oxaloacetate_interconversion	FUMARATE	input	1
fumarate_oxaloacetate_interconversion	OXALOACETATE	input	2
fumarate_oxaloacetate_interconversion	FUMARATE	output	1
fumarate_oxaloacetate_interconversion	OXALOACETATE	output	2
chorismate_biosynthesis	PEP	input	1
chorismate_biosynthesis	E4P	input	2
chorismate_biosynthesis	CHORISMATE	output	1
salicylate_biosynthesis	CHORISMATE	input	1
salicylate_biosynthesis	SALICYLATE	output	1
indole_3_acetate_biosynthesis	TRYPTOPHAN	input	1
indole_3_acetate_biosynthesis	INDOLE_3_ACETATE	output	1
urate_degradation	URATE	input	1
urate_degradation	ALLANTOIN	output	1
allantoin_degradation	ALLANTOIN	input	1
allantoin_degradation	GLYOXYLATE	output	1
allantoin_degradation	UREA	output	2
urea_hydrolysis	UREA	input	1
urea_hydrolysis	AMMONIUM	output	1
nitrate_assimilation	NITRATE	input	1
nitrate_assimilation	AMMONIUM	output	1
betaine_demethylation	BETAINE	input	1
betaine_demethylation	SARCOSINE	output	1
sarcosine_demethylation	SARCOSINE	input	1
sarcosine_demethylation	GLYCINE	output	1
creatinine_degradation	CREATININE	input	1
creatinine_degradation	SARCOSINE	output	1
creatinine_degradation	UREA	output	2
carnitine_degradation_trimethylamine	CARNITINE	input	1
carnitine_degradation_trimethylamine	TRIMETHYLAMINE	output	1
carnitine_to_betaine	CARNITINE	input	1
carnitine_to_betaine	BETAINE	output	1
methylamine_degradation	METHYLAMINE	input	1
methylamine_degradation	AMMONIUM	output	1
taurine_desulfonation_aerobic	TAURINE_IN	input	1
taurine_desulfonation_aerobic	SULFITE	output	1
taurine_degradation_sulfoacetaldehyde	TAURINE_IN	input	1
taurine_degradation_sulfoacetaldehyde	SULFITE	output	1
taurine_uptake_abc	TAURINE_EX	input	1
taurine_uptake_abc	TAURINE_IN	output	1
ammonium_assimilation	AMMONIUM	input	1
ammonium_assimilation	OXOGLUTARATE	input	2
ammonium_assimilation	GLUTAMATE	output	1
glcnac_degradation	AMMONIUM	output	2
neuac_degradation	AMMONIUM	output	2
benzoate_degradation_catechol	BENZOATE	input	1
benzoate_degradation_catechol	CATECHOL	output	1
anthranilate_degradation_catechol	ANTHRANILATE	input	1
anthranilate_degradation_catechol	CATECHOL	output	1
phenol_hydroxylation	PHENOL	input	1
phenol_hydroxylation	CATECHOL	output	1
catechol_ortho_cleavage	CATECHOL	input	1
catechol_ortho_cleavage	OXOADIPATE	output	1
oxoadipate_activation	OXOADIPATE	input	1
oxoadipate_activation	OXOADIPYL_COA	output	1
oxoadipyl_coa_thiolysis	OXOADIPYL_COA	input	1
oxoadipyl_coa_thiolysis	SUCCINYL_COA	output	1
oxoadipyl_coa_thiolysis	ACETYL_COA	output	2
catechol_meta_cleavage	CATECHOL	input	1
catechol_meta_cleavage	OXOPENTENOATE	output	1
oxopentenoate_degradation	OXOPENTENOATE	input	1
oxopentenoate_degradation	PYRUVATE	output	1
oxopentenoate_degradation	ACETYL_COA	output	2
phenylacetate_degradation	PHENYLACETATE	input	1
phenylacetate_degradation	OXOADIPYL_COA	output	1
phenylpropanoate_dihydroxylation	PHENYLPROPANOATE	input	1
phenylpropanoate_dihydroxylation	DHPP	output	1
hydroxyphenylpropanoate_hydroxylation	HPP	input	1
hydroxyphenylpropanoate_hydroxylation	DHPP	output	1
dihydroxyphenylpropanoate_degradation	DHPP	input	1
dihydroxyphenylpropanoate_degradation	OXOPENTENOATE	output	1
dihydroxyphenylpropanoate_degradation	SUCCINATE	output	2
glutamine_biosynthesis	GLUTAMATE	input	1
glutamine_biosynthesis	AMMONIUM	input	2
glutamine_biosynthesis	GLUTAMINE	output	1
alanine_biosynthesis	PYRUVATE	input	1
alanine_biosynthesis	ALANINE	output	1
aspartate_biosynthesis	OXALOACETATE	input	1
aspartate_biosynthesis	ASPARTATE	output	1
asparagine_biosynthesis	ASPARTATE	input	1
asparagine_biosynthesis	ASPARAGINE	output	1
dap_biosynthesis	ASA	input	1
dap_biosynthesis	MESO_DAP	output	1
lysine_biosynthesis_dap	MESO_DAP	input	1
lysine_biosynthesis_dap	LYSINE	output	1
oxoisovalerate_biosynthesis	PYRUVATE	input	1
oxoisovalerate_biosynthesis	OXOISOVALERATE	output	1
valine_biosynthesis	OXOISOVALERATE	input	1
valine_biosynthesis	VALINE	output	1
leucine_biosynthesis	OXOISOVALERATE	input	1
leucine_biosynthesis	LEUCINE	output	1
oxobutanoate_biosynthesis_citramalate	PYRUVATE	input	1
oxobutanoate_biosynthesis_citramalate	OXOBUTANOATE	output	1
isoleucine_biosynthesis	OXOBUTANOATE	input	1
isoleucine_biosynthesis	ISOLEUCINE	output	1
phenylalanine_biosynthesis	CHORISMATE	input	1
phenylalanine_biosynthesis	PHENYLALANINE	output	1
tyrosine_biosynthesis	CHORISMATE	input	1
tyrosine_biosynthesis	TYROSINE	output	1
tryptophan_biosynthesis	CHORISMATE	input	1
tryptophan_biosynthesis	GLUTAMINE	input	2
tryptophan_biosynthesis	TRYPTOPHAN	output	1
histidine_biosynthesis	PRPP	input	1
histidine_biosynthesis	GLUTAMINE	input	2
histidine_biosynthesis	HISTIDINE	output	1
proline_biosynthesis	GLUTAMATE	input	1
proline_biosynthesis	PROLINE	output	1
ornithine_biosynthesis	GLUTAMATE	input	1
ornithine_biosynthesis	ORNITHINE	output	1
arginine_biosynthesis	ORNITHINE	input	1
arginine_biosynthesis	ARGININE	output	1
arginine_deiminase_pathway	ARGININE	input	1
arginine_deiminase_pathway	ORNITHINE	output	1
arginine_deiminase_pathway	AMMONIUM	output	2
histidine_degradation_glutamate	HISTIDINE	input	1
histidine_degradation_glutamate	GLUTAMATE	output	1
histidine_degradation_glutamate	AMMONIUM	output	2
threonine_deamination	THREONINE	input	1
threonine_deamination	OXOBUTANOATE	output	1
threonine_deamination	AMMONIUM	output	2
serine_deamination	SERINE	input	1
serine_deamination	PYRUVATE	output	1
serine_deamination	AMMONIUM	output	2
glutamate_decarboxylation_gaba	GLUTAMATE	input	1
glutamate_decarboxylation_gaba	GABA	output	1
tryptophan_degradation_indole	TRYPTOPHAN	input	1
tryptophan_degradation_indole	INDOLE	output	1
tryptophan_degradation_indole	PYRUVATE	output	2
tryptophan_degradation_indole	AMMONIUM	output	3
methionine_degradation_methanethiol	METHIONINE	input	1
methionine_degradation_methanethiol	METHANETHIOL	output	1
methionine_degradation_methanethiol	OXOBUTANOATE	output	2
methionine_degradation_methanethiol	AMMONIUM	output	3
cysteine_degradation_sulfide	CYSTEINE	input	1
cysteine_degradation_sulfide	SULFIDE	output	1
cysteine_degradation_sulfide	PYRUVATE	output	2
cysteine_degradation_sulfide	AMMONIUM	output	3
glycine_reduction_stickland	GLYCINE	input	1
glycine_reduction_stickland	ACETYL_PHOSPHATE	output	1
glycine_reduction_stickland	AMMONIUM	output	2
proline_reduction_stickland	PROLINE	input	1
proline_reduction_stickland	AMINOPENTANOATE	output	1
